### On/Off of FBH(OR)xTOFxCH element
### on/off
### 0 : off, 1 : on
# TOF segment 0
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 4
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 0
CH28 0
CH29 0
CH30 0
CH31 0
CH32 0
CH33 0
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 5
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 0
CH30 0
CH31 0
CH32 0
CH33 0
CH34 0
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 6
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 1
CH30 1
CH31 1
CH32 1
CH33 1
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 7
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 1
CH30 1
CH31 1
CH32 1
CH33 1
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 8
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 1
CH30 1
CH31 1
CH32 1
CH33 1
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 9
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 1
CH30 1
CH31 1
CH32 1
CH33 1
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 10
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 1
CH30 1
CH31 1
CH32 1
CH33 1
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 11
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 1
CH30 1
CH31 1
CH32 1
CH33 1
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 12
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 1
CH30 1
CH31 1
CH32 1
CH33 1
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 13
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 1
CH30 1
CH31 1
CH32 1
CH33 1
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 14
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 1
CH30 1
CH31 1
CH32 1
CH33 1
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 15
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 1
CH30 1
CH31 1
CH32 1
CH33 1
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 16
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 1
CH30 1
CH31 1
CH32 1
CH33 1
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 17
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 1
CH30 1
CH31 1
CH32 1
CH33 1
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 18
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 1
CH30 1
CH31 1
CH32 1
CH33 1
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 19
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 1
CH30 1
CH31 1
CH32 1
CH33 1
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 20
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 1
CH30 1
CH31 1
CH32 1
CH33 1
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 21
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 1
CH30 1
CH31 1
CH32 1
CH33 1
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 22
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 1
CH30 1
CH31 1
CH32 1
CH33 1
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
# TOF segment 23
CH00 1
CH01 1
CH02 1
CH03 1
CH04 1
CH05 1
CH06 1
CH07 1
CH08 1
CH09 1
CH10 1
CH11 1
CH12 1
CH13 1
CH14 1
CH15 1
CH16 1
CH17 1
CH18 1
CH19 1
CH20 1
CH21 1
CH22 1
CH23 1
CH24 1
CH25 1
CH26 1
CH27 1
CH28 1
CH29 1
CH30 1
CH31 1
CH32 1
CH33 1
CH34 1
CH35 1
CH36 1
CH37 1
CH38 1
CH39 1
CH40 1
CH41 1
CH42 1
CH43 1
CH44 1
CH45 1
CH46 1
CH47 1
CH48 1
CH49 1
CH50 1
CH51 1
CH52 1
CH53 1
CH54 1
CH55 1
CH56 1
CH57 1
CH58 1
CH59 1
CH60 1
CH61 1
CH62 1
CH63 1
